DATE&TIME,Air_Temp_Avg,RH_Avg
04/18/2025 08:00,21.1,69.38
04/18/2025 09:00,23.9,57.69
04/18/2025 10:00,26.1,50.02
04/18/2025 11:00,26.4,48.22
04/18/2025 12:00,26.7,49
04/18/2025 13:00,25.8,51.29
04/18/2025 14:00,26.7,50.5
04/18/2025 15:00,24.8,55.8
04/18/2025 16:00,25.6,54.2
04/18/2025 17:00,25.7,54.41
04/18/2025 18:00,22.6,63.49
04/18/2025 19:00,19.8,71.79
04/18/2025 20:00,17.4,82.7
04/18/2025 21:00,16.9,83.7
04/18/2025 22:00,15.7,88.8
04/18/2025 23:00,15.3,90.6
04/19/2025 00:00,15.1,91.6
04/19/2025 01:00,15.2,92.1
04/19/2025 02:00,14.9,93
04/19/2025 03:00,14.6,93.8
04/19/2025 04:00,14.4,94.1
04/19/2025 05:00,14.1,95.5
04/19/2025 06:00,15.2,94.9
04/19/2025 07:00,17.3,91.6
04/19/2025 08:00,21.9,70.81
04/19/2025 09:00,25.3,53.8
04/19/2025 10:00,27.3,45.71
04/19/2025 11:00,27.5,43.82
04/19/2025 12:00,28.3,41.21
04/19/2025 13:00,27.8,42.7
04/19/2025 14:00,26.6,47.5
04/19/2025 15:00,26.1,48.5
04/19/2025 16:00,25,49.2
04/19/2025 17:00,23.7,56.09
04/19/2025 18:00,22.3,65.5
04/19/2025 19:00,21.8,68.99
04/19/2025 20:00,20.1,80.9
04/19/2025 21:00,18.8,92.8
04/19/2025 22:00,17.3,94.5
04/19/2025 23:00,16.7,93.2
04/20/2025 00:00,14.5,94.6
04/20/2025 01:00,14.5,95.6
04/20/2025 02:00,14.6,96.1
04/20/2025 03:00,14.7,96.8
04/20/2025 04:00,14.9,97.1
04/20/2025 05:00,15.1,97.3
04/20/2025 06:00,15.3,97.3
04/20/2025 07:00,15.5,97.1
04/20/2025 08:00,16,95.7
04/20/2025 09:00,16.5,94.3
04/20/2025 10:00,19.5,81.1
04/20/2025 11:00,18.8,85.3
04/20/2025 12:00,19.2,83.7
04/20/2025 13:00,19.9,81
04/20/2025 14:00,23.3,68.43
04/20/2025 15:00,24.3,66.8
04/20/2025 16:00,24.1,67.5
04/20/2025 17:00,24,67.1
04/20/2025 18:00,21.5,76.3
04/20/2025 19:00,18.8,82.5
04/20/2025 20:00,16.8,83.1
04/20/2025 21:00,16.2,88.1
04/20/2025 22:00,14.8,90.5
04/20/2025 23:00,14.4,91.1
04/21/2025 00:00,14,91
04/21/2025 01:00,13.8,92.4
04/21/2025 02:00,13.5,92.9
04/21/2025 03:00,13,93.4
04/21/2025 04:00,12.5,94
04/21/2025 05:00,12,95
04/21/2025 06:00,13,94.3
04/21/2025 07:00,15.4,91.8
04/21/2025 08:00,20,71.5
04/21/2025 09:00,23.5,62.1
04/21/2025 10:00,25,54.8
04/21/2025 11:00,29.5,45.8
04/21/2025 12:00,28.3,48.7
04/21/2025 13:00,27.5,50.4
04/21/2025 14:00,26.4,53.9
04/21/2025 15:00,26.1,55.4
04/21/2025 16:00,24.5,60.6
04/21/2025 17:00,23.7,62
04/21/2025 18:00,22.5,72.4
04/21/2025 19:00,21.1,75.1
04/21/2025 20:00,20.7,77.6
04/21/2025 21:00,18.8,86.2
04/21/2025 22:00,18.3,89.2
04/21/2025 23:00,18,85.4
04/22/2025 00:00,19.1,74.9
04/22/2025 01:00,19.2,73.8
04/22/2025 02:00,18.8,77.6
04/22/2025 03:00,18.3,80.3
04/22/2025 04:00,18.1,80.8
04/22/2025 05:00,17.5,90.8
04/22/2025 06:00,17.4,88.5
04/22/2025 07:00,17.6,90.7
04/22/2025 08:00,17.6,94.6
04/22/2025 09:00,18.9,89.9
04/22/2025 10:00,18.7,88.7
04/22/2025 11:00,20.5,87.2
04/22/2025 12:00,22.7,78.3
04/22/2025 13:00,21,85
04/22/2025 14:00,20.6,87.8
04/22/2025 15:00,22,82.5
04/22/2025 16:00,20.8,87.1
04/22/2025 17:00,20.8,85.8
04/22/2025 18:00,19.9,87.5
04/22/2025 19:00,19.5,90.3
04/22/2025 20:00,18.5,93.9
04/22/2025 21:00,18.3,95.2
04/22/2025 22:00,17.9,95.9
04/22/2025 23:00,17.9,96.1
04/23/2025 00:00,17.5,95.4
04/23/2025 01:00,16.9,94.2
04/23/2025 02:00,16.9,95.1
04/23/2025 03:00,16.5,94.5
04/23/2025 04:00,15.9,94.9
04/23/2025 05:00,15.5,94.1
04/23/2025 06:00,15.3,94
04/23/2025 07:00,15.8,93.5
04/23/2025 08:00,17.8,84.2
04/23/2025 09:00,18.3,81.2
04/23/2025 10:00,19.3,78.3
04/23/2025 11:00,27.91,52.75
04/23/2025 12:00,24.2,64.32
04/23/2025 13:00,24.2,62.32
04/23/2025 14:00,24.8,60.07
04/23/2025 15:00,25.1,57.51
04/23/2025 16:00,23.6,61.37
04/23/2025 17:00,21.6,66.71
04/23/2025 18:00,20.1,72.73
04/23/2025 19:00,17.2,79.69
04/23/2025 20:00,15.9,84.3
04/23/2025 21:00,15.6,84.7
04/23/2025 22:00,15,86.9
04/23/2025 23:00,14.9,87.4
04/24/2025 00:00,13.1,92.3
04/24/2025 01:00,13.9,93
04/24/2025 02:00,12.8,94
04/24/2025 03:00,12.4,95.4
04/24/2025 04:00,13.3,94.3
04/24/2025 05:00,13.3,91
04/24/2025 06:00,13.2,90.1
04/24/2025 07:00,14.1,84.2
04/24/2025 08:00,17,69.62
04/24/2025 09:00,18.9,62.58
04/24/2025 10:00,20.7,51.18
04/24/2025 11:00,22.3,43.86
04/24/2025 12:00,23.4,38.03
04/24/2025 13:00,23.4,42.38
04/24/2025 14:00,22.7,41.38
04/24/2025 15:00,23.1,36.82
04/24/2025 16:00,20.8,41.4
04/24/2025 17:00,19.7,46.19
04/24/2025 18:00,17.1,63.99
04/24/2025 19:00,14.6,73.2
04/24/2025 20:00,13.4,54.7
04/24/2025 21:00,11.6,47.59
04/24/2025 22:00,10.5,51
04/24/2025 23:00,8.1,65.72
04/25/2025 00:00,6.8,76
04/25/2025 01:00,6,82.8
04/25/2025 02:00,5.2,86.6
04/25/2025 03:00,5,88.2
04/25/2025 04:00,4.7,89.3
04/25/2025 05:00,4.102,89.7
04/25/2025 06:00,3.7,91.3
04/25/2025 07:00,6.298,86.3
04/25/2025 08:00,10.5,69.91
04/25/2025 09:00,15.8,43.82
04/25/2025 10:00,18.6,26.91
04/25/2025 11:00,20.7,26.82
04/25/2025 12:00,21.9,19.39
04/25/2025 13:00,22.4,24.25
04/25/2025 14:00,20.9,24.1
04/25/2025 15:00,22,18
04/25/2025 16:00,20.4,16.88
04/25/2025 17:00,18.7,19.18
04/25/2025 18:00,15.4,19.72
04/25/2025 19:00,13.8,29.2
04/25/2025 20:00,11.6,42.6
04/25/2025 21:00,9.8,55.01
04/25/2025 22:00,7.1,70.61
04/25/2025 23:00,5.702,76.69
04/26/2025 00:00,5.3,77.6
04/26/2025 01:00,4.6,81
04/26/2025 02:00,4.1,83.2
04/26/2025 03:00,3.6,86
04/26/2025 04:00,3.3,87.8
04/26/2025 05:00,2.9,90.3
04/26/2025 06:00,3,91
04/26/2025 07:00,5.898,83.8
04/26/2025 08:00,12.2,55.39
04/26/2025 09:00,16,41.29
04/26/2025 10:00,20.2,21.73
04/26/2025 11:00,24,21.21
04/26/2025 12:00,25.9,16.12
04/26/2025 13:00,26.3,21.7
04/26/2025 14:00,27.2,17.6
04/26/2025 15:00,26.1,14.58
04/26/2025 16:00,24.4,15.71
04/26/2025 17:00,22.1,18.67
04/26/2025 18:00,18.6,22.81
04/26/2025 19:00,15.8,32.1
04/26/2025 20:00,12.3,48.21
04/26/2025 21:00,10.6,55.4
04/26/2025 22:00,9,61.6
04/26/2025 23:00,7.9,66.9
04/27/2025 00:00,7.7,70.69
04/27/2025 01:00,7.398,69.6
04/27/2025 02:00,7.102,70.6
04/27/2025 03:00,7,71.11
04/27/2025 04:00,6.602,73.39
04/27/2025 05:00,6.4,73.6
04/27/2025 06:00,6.3,74.3
04/27/2025 07:00,9,66.5
04/27/2025 08:00,15.2,45.96
04/27/2025 09:00,19.6,32.3
04/27/2025 10:00,23.6,18.54
04/27/2025 11:00,25.6,16.97
04/27/2025 12:00,27.6,19.77
04/27/2025 13:00,28.41,15.02
04/27/2025 14:00,27.1,20.48
04/27/2025 15:00,26.2,17.17
04/27/2025 16:00,26.1,16.6
04/27/2025 17:00,23.1,20.28
04/27/2025 18:00,20.7,21.19
04/27/2025 19:00,19.2,19.71
04/27/2025 20:00,16,30.51
04/27/2025 21:00,13.3,43.59
04/27/2025 22:00,12.6,51
04/27/2025 23:00,12.4,55.68
04/28/2025 00:00,12.9,54
04/28/2025 01:00,13,52.7
04/28/2025 02:00,12.1,56.19
04/28/2025 03:00,10.9,63.2
04/28/2025 04:00,11.7,62.5
04/28/2025 05:00,10.8,69.7
04/28/2025 06:00,9.6,75
04/28/2025 07:00,11.5,72.8
04/28/2025 08:00,16.2,51.92
04/28/2025 09:00,19,50.43
04/28/2025 10:00,19.5,57.79
04/28/2025 11:00,22.1,47.82
04/28/2025 12:00,25.3,40.41
04/28/2025 13:00,25.5,34.61
04/28/2025 14:00,25.3,32.27
04/28/2025 15:00,23.2,27.49
04/28/2025 16:00,22.2,27.69
04/28/2025 17:00,20.3,26.23
04/28/2025 18:00,16.7,35.31
04/28/2025 19:00,14.1,43.91
04/28/2025 20:00,11.6,57.29
04/28/2025 21:00,10.3,61.7
04/28/2025 22:00,8.5,72.59
04/28/2025 23:00,7.5,79
04/29/2025 00:00,6.4,83.4
04/29/2025 01:00,5.7,86.8
04/29/2025 02:00,4.9,88.5
04/29/2025 03:00,4.4,90
04/29/2025 04:00,4.002,90.7
04/29/2025 05:00,4,91.5
04/29/2025 06:00,4.8,91.5
04/29/2025 07:00,7.198,83.9
04/29/2025 08:00,13.8,58.11
04/29/2025 09:00,16.5,50.51
04/29/2025 10:00,18.9,43.79
04/29/2025 11:00,19.9,35.41
04/29/2025 12:00,21.4,30.83
04/29/2025 13:00,22.1,29.78
04/29/2025 14:00,23,30.75
04/29/2025 15:00,22.9,25.69
04/29/2025 16:00,22.2,22.61
04/29/2025 17:00,22.1,22.79
04/29/2025 18:00,19.6,27.23
04/29/2025 19:00,17.4,33.29
04/29/2025 20:00,14.6,38.91
04/29/2025 21:00,11.3,56
04/29/2025 22:00,9.3,64.4
04/29/2025 23:00,9.1,71.2
04/30/2025 00:00,8.4,74.7
04/30/2025 01:00,7.6,78.1
04/30/2025 02:00,7,79.6
04/30/2025 03:00,6.7,81.6
04/30/2025 04:00,6.6,83.1
04/30/2025 05:00,7,84.7
04/30/2025 06:00,7.4,85.7
04/30/2025 07:00,10.4,76.2
04/30/2025 08:00,19.3,41.62
04/30/2025 09:00,22.4,35.67
04/30/2025 10:00,25.7,27.29
04/30/2025 11:00,26.3,25.79
04/30/2025 12:00,27.4,27.39
04/30/2025 13:00,28.5,27.01
04/30/2025 14:00,28.9,22.58
04/30/2025 15:00,29.5,22.88
04/30/2025 16:00,29.1,21.3
04/30/2025 17:00,26.4,32.41
04/30/2025 18:00,23.7,38.09
04/30/2025 19:00,20.7,43
04/30/2025 20:00,16.1,61.4
04/30/2025 21:00,14.3,68.91
04/30/2025 22:00,15.1,50.69
04/30/2025 23:00,14,50.24
05/01/2025 00:00,13.5,40.64
05/01/2025 01:00,13.3,42.21
05/01/2025 02:00,12.6,41.99
05/01/2025 03:00,15.3,41.9
05/01/2025 04:00,14.9,58.4
05/01/2025 05:00,15.2,66.69
05/01/2025 06:00,15.4,70.31
05/01/2025 07:00,17.3,65.8
05/01/2025 08:00,19.4,59.41
05/01/2025 09:00,23.1,49.8
05/01/2025 10:00,23.6,48.3
05/01/2025 11:00,19.1,73.47
05/01/2025 12:00,21.1,68.44
05/01/2025 13:00,17.3,90
05/01/2025 14:00,17.3,94
05/01/2025 15:00,17.7,92.2
05/01/2025 16:00,17.1,92.8
05/01/2025 17:00,17.7,92.4
05/01/2025 18:00,15.6,93.7
05/01/2025 19:00,15.2,93.8
05/01/2025 20:00,14.7,94.3
05/01/2025 21:00,14.7,92.7
05/01/2025 22:00,13.4,92.7
05/01/2025 23:00,12.8,90
05/02/2025 00:00,11.8,89.8
05/02/2025 01:00,9.7,91.7
05/02/2025 02:00,8.7,93.6
05/02/2025 03:00,8,93.6
05/02/2025 04:00,7.3,93
05/02/2025 05:00,6.5,93.3
05/02/2025 06:00,6.7,93.9
05/02/2025 07:00,10.5,87.1
05/02/2025 08:00,18.1,66.91
05/02/2025 09:00,21.8,44.98
05/02/2025 10:00,18.6,53.07
05/02/2025 11:00,21,41.69
05/02/2025 12:00,22.8,39.53
05/02/2025 13:00,22.7,39.68
05/02/2025 14:00,23.3,36.01
05/02/2025 15:00,21.31,39.5
05/02/2025 16:00,19.9,46.12
05/02/2025 17:00,16.2,56.21
05/02/2025 18:00,15.4,59.31
05/02/2025 19:00,13.8,61.8
05/02/2025 20:00,12.7,76.3
05/02/2025 21:00,12.8,83.4
05/02/2025 22:00,12.9,83.4
05/02/2025 23:00,12,86.2
05/03/2025 00:00,12.5,87
05/03/2025 01:00,12.6,84.1
05/03/2025 02:00,12.1,85.8
05/03/2025 03:00,12.3,87.1
05/03/2025 04:00,12,86.9
05/03/2025 05:00,12.1,90.1
05/03/2025 06:00,11.9,90.9
05/03/2025 07:00,11.7,91.2
05/03/2025 08:00,11.5,90.4
05/03/2025 09:00,12,89.4
05/03/2025 10:00,11,91.4
05/03/2025 11:00,12.2,89.4
05/03/2025 12:00,12.9,88.3
05/03/2025 13:00,15.6,84.4
05/03/2025 14:00,19.3,77.5
05/03/2025 15:00,32.6,46.51
05/03/2025 16:00,26.8,66.9
05/03/2025 17:00,25.7,70.09
05/03/2025 18:00,21.3,79.1
05/03/2025 19:00,17.7,85.1
05/03/2025 20:00,14.4,88.1
05/03/2025 21:00,12.4,89
05/03/2025 22:00,11.4,90.3
05/03/2025 23:00,11.4,91.4
05/04/2025 00:00,11.8,92.2
05/04/2025 01:00,11.7,92.1
05/04/2025 02:00,10.6,91.5
05/04/2025 03:00,9.9,91.5
05/04/2025 04:00,9,91.2
05/04/2025 05:00,8.2,91.2
05/04/2025 06:00,8,91.3
05/04/2025 07:00,11.7,84.7
05/04/2025 08:00,21.4,65.6
05/04/2025 09:00,32.5,49.5
05/04/2025 10:00,19.8,50.4
05/04/2025 11:00,21.5,41.19
05/04/2025 12:00,23.9,33.64
05/04/2025 13:00,24.8,30.57
05/04/2025 14:00,25.1,23.12
05/04/2025 15:00,24.6,22.69
05/04/2025 16:00,23.1,23.19
05/04/2025 17:00,21.1,23.92
05/04/2025 18:00,18.3,26.03
05/04/2025 19:00,15.8,41.19
05/04/2025 20:00,12.4,57.29
05/04/2025 21:00,10.1,74.39
05/04/2025 22:00,8.7,81.4
05/04/2025 23:00,7.7,85
05/05/2025 00:00,6.8,87.8
05/05/2025 01:00,6,88.6
05/05/2025 02:00,5.5,88.1
05/05/2025 03:00,5.1,88.2
05/05/2025 04:00,5.2,89.3
05/05/2025 05:00,4.7,88.8
05/05/2025 06:00,5.6,88.1
05/05/2025 07:00,9.3,76.5
05/05/2025 08:00,13.6,53.3
05/05/2025 09:00,18.7,37.41
05/05/2025 10:00,19.8,33.71
05/05/2025 11:00,19.7,38.56
05/05/2025 12:00,17.4,49.49
05/05/2025 13:00,19.6,44.71
05/05/2025 14:00,19.2,46.53
05/05/2025 15:00,17.3,45.17
05/05/2025 16:00,13.6,74.99
05/05/2025 17:00,13,84.9
05/05/2025 18:00,12.5,86.2
05/05/2025 19:00,12.2,89.9
05/05/2025 20:00,11.9,89.6
05/05/2025 21:00,11.7,92.7
05/05/2025 22:00,11.7,93.5
05/05/2025 23:00,11.7,93.3
05/06/2025 00:00,11.7,93.6
05/06/2025 01:00,11.5,93.6
05/06/2025 02:00,11.5,94
05/06/2025 03:00,11.4,92.7
05/06/2025 04:00,11.4,90.7
05/06/2025 05:00,11,92.9
05/06/2025 06:00,10.9,92.8
05/06/2025 07:00,12,90.1
05/06/2025 08:00,13.3,83.2
05/06/2025 09:00,15.1,76.2
05/06/2025 10:00,17.6,62.21
05/06/2025 11:00,16.3,65.61
05/06/2025 12:00,16.6,64.52
05/06/2025 13:00,16.9,63.79
05/06/2025 14:00,17.9,61.4
05/06/2025 15:00,16.8,66
05/06/2025 16:00,17.5,65.28
05/06/2025 17:00,16.3,70.69
05/06/2025 18:00,16.9,67.08
05/06/2025 19:00,14.5,80.4
05/06/2025 20:00,12.9,89.2
05/06/2025 21:00,11.6,88.9
05/06/2025 22:00,10.3,90.4
05/06/2025 23:00,9,92.8
05/07/2025 00:00,8.2,94.3
05/07/2025 01:00,7.7,95
05/07/2025 02:00,7.3,95.9
05/07/2025 03:00,6.9,95.9
05/07/2025 04:00,6.6,95.9
05/07/2025 05:00,6.6,96.5
05/07/2025 06:00,6.4,96.6
05/07/2025 07:00,9.6,93
05/07/2025 08:00,14.2,75.31
05/07/2025 09:00,17.4,59.61
05/07/2025 10:00,20.1,51.72
05/07/2025 11:00,21.5,47.09
05/07/2025 12:00,23.8,39.47
05/07/2025 13:00,24.7,35.12
05/07/2025 14:00,24.1,35.81
05/07/2025 15:00,24.4,37.37
05/07/2025 16:00,23,36.69
05/07/2025 17:00,21.2,39.52
05/07/2025 18:00,18.8,48.21
05/07/2025 19:00,16.1,54.7
05/07/2025 20:00,13.8,62.5
05/07/2025 21:00,12.4,73.09
05/07/2025 22:00,10.6,81.9
05/07/2025 23:00,9.5,87.2
05/08/2025 00:00,9.2,90
05/08/2025 01:00,8.1,92.1
05/08/2025 02:00,7.5,93.3
05/08/2025 03:00,7.3,93.9
05/08/2025 04:00,6.9,94.2
05/08/2025 05:00,6.4,94.4
05/08/2025 06:00,6.4,94.7
05/08/2025 07:00,9.6,88.5
05/08/2025 08:00,14.4,68.91
05/08/2025 09:00,18.6,56.27
05/08/2025 10:00,22.4,43.84
05/08/2025 11:00,25.7,39.01
05/08/2025 12:00,26.2,33.89
05/08/2025 13:00,26.5,31.11
05/08/2025 14:00,26.9,32.39
05/08/2025 15:00,26.2,35.23
05/08/2025 16:00,25.3,39
05/08/2025 17:00,23.4,46.71
05/08/2025 18:00,21.6,50.18
05/08/2025 19:00,19.3,58
05/08/2025 20:00,16.9,69.8
05/08/2025 21:00,15.7,75.4
05/08/2025 22:00,15.2,79.3
05/08/2025 23:00,14.6,82.9
05/09/2025 00:00,14.5,80.3
05/09/2025 01:00,14.4,78
05/09/2025 02:00,14.1,80.4
05/09/2025 03:00,13.9,80.2
05/09/2025 04:00,13.4,89.3
05/09/2025 05:00,12.8,94.8
05/09/2025 06:00,12.7,95.4
05/09/2025 07:00,13.3,95.6
05/09/2025 08:00,14.4,93.6
05/09/2025 09:00,14.8,93
05/09/2025 10:00,16.3,90.5
05/09/2025 11:00,18.8,81.2
05/09/2025 12:00,19.3,79.5
05/09/2025 13:00,19.6,80.7
05/09/2025 14:00,18.3,85.8
05/09/2025 15:00,17.2,87.6
05/09/2025 16:00,17.5,84.3
05/09/2025 17:00,17.9,83
05/09/2025 18:00,18.7,80.1
05/09/2025 19:00,18.6,81.1
05/09/2025 20:00,18,84.4
05/09/2025 21:00,17.4,89.6
05/09/2025 22:00,17.1,89.2
05/09/2025 23:00,17.2,84.9
05/10/2025 00:00,17,84.3
05/10/2025 01:00,15.1,88.2
05/10/2025 02:00,13.8,91.5
05/10/2025 03:00,13.7,93.7
05/10/2025 04:00,13.6,94.9
05/10/2025 05:00,13.4,95.1
05/10/2025 06:00,13.1,93.5
05/10/2025 07:00,13.1,91.6
05/10/2025 08:00,13.1,93.1
05/10/2025 09:00,13.4,91.2
05/10/2025 10:00,13.4,91.3
05/10/2025 11:00,13.6,91.5
05/10/2025 12:00,13.7,91.2
05/10/2025 13:00,13.9,91.2
05/10/2025 14:00,13.8,89.9
05/10/2025 15:00,13.8,88.2
05/10/2025 16:00,13.5,90.2
05/10/2025 17:00,13.2,91.6
05/10/2025 18:00,13.3,91.4
05/10/2025 19:00,13.2,90.7
05/10/2025 20:00,13.2,91.1
05/10/2025 21:00,13.3,91.1
05/10/2025 22:00,13.2,90.2
05/10/2025 23:00,13,92.8
05/11/2025 00:00,13.2,91.1
05/11/2025 01:00,13.4,92.5
05/11/2025 02:00,13.3,89.1
05/11/2025 03:00,13.1,92.4
05/11/2025 04:00,12.2,92.9
05/11/2025 05:00,11.5,93.7
05/11/2025 06:00,11.5,93.7
05/11/2025 07:00,12.9,91.4
05/11/2025 08:00,15.4,85
05/11/2025 09:00,18.3,66.9
05/11/2025 10:00,21,55.38
05/11/2025 11:00,24.7,47.69
05/11/2025 12:00,26.09,41.52
05/11/2025 13:00,26.4,45.61
05/11/2025 14:00,26.2,48.88
05/11/2025 15:00,23.41,48.95
05/11/2025 16:00,23.7,38.11
05/11/2025 17:00,21,48.59
05/11/2025 18:00,18.9,55.41
05/11/2025 19:00,16.5,64.31
05/11/2025 20:00,13,82.9
05/11/2025 21:00,11.3,90.2
05/11/2025 22:00,10.5,92.8
05/11/2025 23:00,9.8,94.7
05/12/2025 00:00,9.4,95.4
05/12/2025 01:00,8.9,95.8
05/12/2025 02:00,8.2,95.7
05/12/2025 03:00,7.8,95.9
05/12/2025 04:00,7.5,95.9
05/12/2025 05:00,7,96.4
05/12/2025 06:00,7.9,95.9
05/12/2025 07:00,10.6,91.4
05/12/2025 08:00,17.1,69.1
05/12/2025 09:00,19.9,56.58
05/12/2025 10:00,23,45.67
05/12/2025 11:00,23.4,43.61
05/12/2025 12:00,25,37.33
05/12/2025 13:00,25.4,36.59
05/12/2025 14:00,26,34.1
05/12/2025 15:00,26.2,33.97
05/12/2025 16:00,25.8,32.81
05/12/2025 17:00,25.5,38.4
05/12/2025 18:00,23.3,42.9
05/12/2025 19:00,20.8,57.7
05/12/2025 20:00,16.7,76.5
05/12/2025 21:00,14.8,84.5
05/12/2025 22:00,13.5,88.3
05/12/2025 23:00,12.6,90.2
05/13/2025 00:00,11.7,90.9
05/13/2025 01:00,11.3,89.6
05/13/2025 02:00,11,90.2
05/13/2025 03:00,10.6,90.8
05/13/2025 04:00,10.1,92.9
05/13/2025 05:00,9.7,94.2
05/13/2025 06:00,10.2,94.6
05/13/2025 07:00,12.6,89.7
05/13/2025 08:00,19.2,71.22
05/13/2025 09:00,24.4,42.82
05/13/2025 10:00,27.5,36.78
05/13/2025 11:00,27.2,34.8
05/13/2025 12:00,27.7,32.38
05/13/2025 13:00,26.8,36.09
05/13/2025 14:00,26.7,33.51
05/13/2025 15:00,27.2,31.48
05/13/2025 16:00,26.8,29.59
05/13/2025 17:00,26.1,35.46
05/13/2025 18:00,24.4,37.64
05/13/2025 19:00,21.1,49.8
05/13/2025 20:00,17.4,67.39
05/13/2025 21:00,15.5,76.4
05/13/2025 22:00,14.4,82.2
05/13/2025 23:00,13.8,84.4
05/14/2025 00:00,12.9,87.6
05/14/2025 01:00,12.4,89.4
05/14/2025 02:00,11.6,91.3
05/14/2025 03:00,11,92.2
05/14/2025 04:00,10.3,94
05/14/2025 05:00,10,94.5
05/14/2025 06:00,9.9,94.8
05/14/2025 07:00,13.4,87.3
05/14/2025 08:00,19.8,64.92
05/14/2025 09:00,24.5,40.94
05/14/2025 10:00,26.8,36.51
05/14/2025 11:00,26.9,35.31
05/14/2025 12:00,28.4,31.81
05/14/2025 13:00,29,33.01
05/14/2025 14:00,29.5,28.09
05/14/2025 15:00,29.3,29.42
05/14/2025 16:00,28.8,32.79
05/14/2025 17:00,28.3,35.91
05/14/2025 18:00,26.1,38.69
05/14/2025 19:00,23.9,41.41
05/14/2025 20:00,21.9,52.19
05/14/2025 21:00,20.4,64.02
05/14/2025 22:00,20.6,62.2
05/14/2025 23:00,20.4,62.83
05/15/2025 00:00,20,64.99
05/15/2025 01:00,19.9,68.21
05/15/2025 02:00,20,70.3
05/15/2025 03:00,20.1,72.6
05/15/2025 04:00,20.3,75.5
05/15/2025 05:00,20.1,78.2
05/15/2025 06:00,20,82.5
05/15/2025 07:00,20,88.9
05/15/2025 08:00,20.8,91.6
05/15/2025 09:00,21.5,90.3
05/15/2025 10:00,21.8,91.8
05/15/2025 11:00,23.8,78.89
05/15/2025 12:00,25.6,71
05/15/2025 13:00,25.9,71.79
05/15/2025 14:00,26.6,68.6
05/15/2025 15:00,25.6,73.3
05/15/2025 16:00,25.5,73.11
05/15/2025 17:00,25.8,73.09
05/15/2025 18:00,23.9,80.8
05/15/2025 19:00,21.8,86.2
05/15/2025 20:00,20.9,90.4
05/15/2025 21:00,20.3,93.4
05/15/2025 22:00,20.1,94.8
05/15/2025 23:00,20.1,95.5
05/16/2025 00:00,20.2,95
05/16/2025 01:00,20,95
05/16/2025 02:00,19.9,95.1
05/16/2025 03:00,19.7,95.5
05/16/2025 04:00,19.4,95.6
05/16/2025 05:00,19.2,97.2
05/16/2025 06:00,20.6,90.4
05/16/2025 07:00,21.6,87.1
05/16/2025 08:00,22,85.2
05/16/2025 09:00,23.8,77.9
05/16/2025 10:00,24.4,75.62
05/16/2025 11:00,24.8,74.29
05/16/2025 12:00,25.4,68.61
05/16/2025 13:00,24.4,71.89
05/16/2025 14:00,22.7,71.5
05/16/2025 15:00,20.8,86.9
05/16/2025 16:00,20.4,91.1
05/16/2025 17:00,20,91.8
05/16/2025 18:00,18.9,93.8
